LUDF,LUDF,MSR,MSR,LSR,LSR
X,Y,X,Y,X,Y
0.9678832116788323,18.57142857142857,1.0321167883211677,5.714285714285708,0.9678832116788323,4.857142857142847
1.9795620437956205,15.42857142857143,1.9474452554744528,10.285714285714292,1.995620437956204,23.714285714285708
2.9912408759124083,50.571428571428555,2.927007299270073,21.999999999999986,2.927007299270073,33.428571428571416
4.018978102189781,48.28571428571428,3.9868613138686126,57.7142857142857,4.035036496350365,61.42857142857142
4.9824817518248175,61.14285714285714,4.998540145985402,77.7142857142857,5.014598540145984,81.99999999999999
5.994160583941605,81.42857142857142,5.978102189781023,81.7142857142857,6.0102189781021895,72.57142857142856
6.9897810218978105,75.99999999999999,6.9897810218978105,64.57142857142856,6.9897810218978105,59.71428571428571
8.001459854014598,88.28571428571428,8.04963503649635,57.7142857142857,7.96934306569343,55.14285714285714
9.02919708029197,69.99999999999999,9.045255474452555,47.428571428571416,9.013138686131386,45.142857142857125
9.992700729927007,45.428571428571416,9.816058394160583,40.85714285714286,9.976642335766423,40.28571428571428
11.004379562043795,49.428571428571416,10.875912408759124,35.428571428571416,11.967883211678831,29.714285714285708
12.032116788321167,30.57142857142857,11.871532846715327,26.285714285714278,11.004379562043795,35.14285714285714
