LUDF,LUDF,MSR,MSR,LSR,LSR
X,Y,X,Y,X,Y
0.9832572298325717,9.361335389639834,0.9497716894977168,10.22634491517735,1,10.56790347455319
1.954337899543379,31.36215186428376,1.904109589041096,15.52390456318605,1.987823439878234,16.19250657715685
2.9589041095890414,39.68338927696634,3.0091324200913236,31.978590220448154,2.9923896499238962,31.666061870634124
4.047184170471842,63.27587771024221,4.047184170471842,47.779188968520344,3.9969558599695585,47.73564365417761
4.9847792998477924,80.77746529982763,4.9847792998477924,74.81720039916537,5.00152207001522,74.83171550394628
5.972602739726026,89.3822008527624,5.972602739726026,88.19014787262995,6.0228310502283104,94.78998457770115
7.010654490106544,78.65962079288758,7.027397260273972,75.39599020230426,7.010654490106544,78.36160754785448
7.998477929984778,77.72793250476276,8.015220700152208,65.52390456318605,8.015220700152208,71.78218270888142
8.986301369863012,82.16048262723395,9.003044140030442,51.47963349360428,9.019786910197869,37.48752608182889
10.007610350076103,66.95318878708153,10.007610350076103,57.714778191055046,9.974124809741246,48.149324140433606
11.028919330289193,54.428014152227135 ,11.012176560121764,42.790982491154836,10.961948249619484,38.27723850131541
12.016742770167427,37.403610632314226,12.016742770167427,39.489703347546026,11.933028919330289,33.158849677946094
